expanded_feature,importance
num__duration,0.037583762260852686
num__euribor3m,0.004263377682820246
num__nr.employed,0.0041128484024473225
num__emp.var.rate,0.0024910168010100152
num__pdays,0.002427891618918143
cat__month_oct,0.0009614450810916053
cat__poutcome_nonexistent,0.0008157715839565149
cat__housing_no,0.0006798096532970755
cat__month_mar,0.0006652423035835853
cat__marital_married,0.0006555307371079067
cat__day_of_week_mon,0.00061668447120522
cat__day_of_week_fri,0.0006166844712052144
cat__contact_cellular,0.0006166844712052089
cat__default_unknown,0.0005632708555890154
cat__day_of_week_wed,0.0004175973584539305
num__previous,0.0003933184422647507
cat__loan_yes,0.0003787510925512383
cat__poutcome_success,0.0003690395260755708
cat__loan_no,0.0003496163931242191
cat__job_student,0.00033990482664854603
cat__marital_single,0.0003204816936972055
cat__default_no,0.00032048169369719437
cat__contact_telephone,0.00026221229484317267
cat__housing_yes,0.00022336602894048596
cat__poutcome_failure,0.0002233660289404693
cat__job_services,0.00021365446246480736
cat__month_dec,0.00018937554627562747
cat__month_apr,0.00014567349713511256
cat__month_jun,0.00011653879770808783
cat__job_entrepreneur,0.00010682723123240922
cat__job_unknown,9.711566475677502e-05
cat__job_self-employed,9.711566475674727e-05
cat__month_may,8.25483150432349e-05
cat__housing_unknown,3.39904826648918e-05
cat__job_unemployed,2.913469942704694e-05
cat__education_unknown,2.913469942704694e-05
cat__marital_unknown,4.8557832378393065e-06
cat__default_yes,0.0
cat__education_illiterate,0.0
cat__job_housemaid,-4.855783237811551e-06
cat__education_basic.6y,-4.855783237822653e-06
cat__month_nov,-4.855783237822653e-06
cat__day_of_week_tue,-2.913469942699698e-05
cat__education_basic.9y,-3.88462659026867e-05
cat__loan_unknown,-6.312518209184437e-05
cat__job_management,-6.798096532969477e-05
cat__education_university.degree,-7.283674856752298e-05
cat__month_aug,-0.00010682723123238702
cat__job_retired,-0.00011168301447021522
cat__marital_divorced,-0.00017966397979993776
cat__month_jul,-0.00018937554627561083
cat__month_sep,-0.00020879867922695693
cat__education_basic.4y,-0.00026221229484315044
cat__day_of_week_thu,-0.0002962027775080145
num__cons.conf.idx,-0.00038360687578906647
cat__job_admin.,-0.0004030300087404071
cat__education_professional.course,-0.0005147130232106389
num__campaign,-0.0005729824220646774
cat__job_blue-collar,-0.0005924055550160234
cat__education_high.school,-0.000645819170632217
cat__job_technician,-0.0006506749538700673
num__age,-0.000665242303583552
num__cons.price.idx,-0.0012819267747887664
